Was ist ein geordnetes Paar \( (a,b) \)?;Eine Zusammenfassung zweier Elemente, bei der die Reihenfolge wesentlich ist (d.h. \( (a,b)=(c,d) \Leftrightarrow a=c \land b=d \)).
Was ist das kartesische Produkt \( A \times B \)?;Die Menge aller geordneten Paare \( (a,b) \) mit \( a \in A \) und \( b \in B \).
Was ist eine Relation \( R \)?;Eine Teilmenge des kartesischen Produkts \( A \times B \).
Was bedeutet die Schreibweise \( aRb \)?;Sie bedeutet \( (a,b) \in R \) (a steht in Relation zu b).
Wann ist eine Relation reflexiv?;Wenn für alle \( a \in A \) gilt: \( aRa \).
Wann ist eine Relation irreflexiv?;Wenn für kein einziges \( a \in A \) gilt: \( aRa \) (also \( \forall a \in A: (a,a) \notin R \)).
Wann ist eine Relation symmetrisch?;Wenn für alle \( a,b \in A \) gilt: aus \( aRb \) folgt \( bRa \).
Wann ist eine Relation antisymmetrisch?;Wenn für alle \( a,b \in A \) gilt: aus \( aRb \land bRa \) folgt \( a=b \).
Wann ist eine Relation transitiv?;Wenn für alle \( a,b,c \in A \) gilt: aus \( aRb \land bRc \) folgt \( aRc \).
Was ist eine Äquivalenzrelation?;Eine Relation, die reflexiv, symmetrisch und transitiv ist.
Was ist eine Äquivalenzklasse \( K(a) \)?;Die Menge aller Elemente, die zu \( a \) in Relation stehen: \( \{b \in A \mid bRa\} \).
Was ist eine Partition (Zerlegung)?;Eine Aufteilung einer Menge in paarweise disjunkte Teilmengen, deren Vereinigung die Gesamtmenge ergibt.
Was ist eine Halbordnung?;Eine Relation, die reflexiv, antisymmetrisch und transitiv ist.
Was ist eine Totalordnung?;Eine Halbordnung, bei der je zwei Elemente vergleichbar sind (es gilt immer \( aRb \) oder \( bRa \)).
Was ist ein minimales Element?;Ein Element \( x \), für das es kein \( y \neq x \) gibt mit \( yRx \) ("nichts darunter").
Was ist ein maximales Element?;Ein Element \( x \), für das es kein \( y \neq x \) gibt mit \( xRy \) ("nichts darüber").
Was ist das kleinste Element?;Ein Element \( x \), sodass für alle \( y \) gilt: \( xRy \) (es ist eindeutig).
Was ist das größte Element?;Ein Element \( x \), sodass für alle \( y \) gilt: \( yRx \) (es ist eindeutig).
Was ist eine Funktion \( f: A \to B \)?;Eine Relation, bei der es zu jedem \( a \in A \) genau ein \( b \in B \) gibt.
Was ist das "Urbild" einer Funktion?;Die Menge aus A, für die gilt \( \exists b \in B: aRb \).
Was ist das "Bild" einer Funktion?;Die Menge aus B, für die gilt \( \exists a \in A: aRb \).
Wann ist eine Funktion injektiv?;Wenn verschiedene Elemente aus A immer auf verschiedene Elemente in B abgebildet werden (\( a_1 \neq a_2 \Rightarrow f(a_1) \neq f(a_2) \)).
Wann ist eine Funktion surjektiv?;Wenn jedes Element aus B mindestens einmal als Funktionswert vorkommt.
Wann ist eine Funktion bijektiv?;Wenn sie injektiv und surjektiv ist (jedes \( b \) wird von genau einem \( a \) getroffen).
Was ist eine binäre Operation?;Eine Abbildung \( A \times A \to A \), die zwei Elementen ein neues zuordnet.
Was bedeutet "Abgeschlossenheit" bei einer Operation?;Das Ergebnis der Verknüpfung liegt wieder in der Menge selbst.
Was besagt das Assoziativgesetz?;\( (a \circ b) \circ c = a \circ (b \circ c) \).
Was besagt das Kommutativgesetz?;\( a \circ b = b \circ a \).
Was ist ein neutrales Element \( e \)?;Ein Element, das bei Verknüpfung nichts ändert: \( e \circ a = a \circ e = a \).
Was ist ein inverses Element \( a' \) zu \( a \)?;Ein Element, das mit \( a \) verknüpft das neutrale Element ergibt: \( a \circ a' = e \).
Was ist ein Gruppoid?;Eine Menge mit einer binären Operation (ohne weitere Gesetze).
Was ist eine Halbgruppe?;Ein Gruppoid, das assoziativ ist.
Was ist ein Monoid?;Eine Halbgruppe mit einem neutralen Element.
Was ist eine Gruppe?;Ein Monoid, in dem jedes Element ein Inverses besitzt.
Was ist eine abelsche Gruppe?;Eine Gruppe, die zusätzlich kommutativ ist.
Was ist eine Untergruppe?;Eine Teilmenge einer Gruppe, die selbst eine Gruppe ist.
