Was ist ein geordnetes Paar \( (a,b) \)?;Eine Zusammenfassung zweier Elemente, bei der die Reihenfolge wesentlich ist (d.h. \( (a,b)=(c,d) \Leftrightarrow a=c \land b=d \)).
Was ist das kartesische Produkt \( A \times B \)?;Die Menge aller geordneten Paare \( (a,b) \) mit \( a \in A \) und \( b \in B \).
Was ist eine Relation \( R \)?;Eine Teilmenge des kartesischen Produkts \( A \times B \).
Was bedeutet die Schreibweise \( aRb \)?;Sie bedeutet \( (a,b) \in R \) (a steht in Relation zu b).
Wann ist eine Relation reflexiv?;Wenn für alle \( a \in A \) gilt: \( aRa \).
Wann ist eine Relation irreflexiv?;Wenn für kein einziges \( a \in A \) gilt: \( aRa \) (also \( \forall a \in A: (a,a) \notin R \)).
Wann ist eine Relation symmetrisch?;Wenn für alle \( a,b \in A \) gilt: aus \( aRb \) folgt \( bRa \).
Wann ist eine Relation antisymmetrisch?;Wenn für alle \( a,b \in A \) gilt: aus \( aRb \land bRa \) folgt \( a=b \).
Wann ist eine Relation transitiv?;Wenn für alle \( a,b,c \in A \) gilt: aus \( aRb \land bRc \) folgt \( aRc \).
Was ist eine Äquivalenzrelation?;Eine Relation, die reflexiv, symmetrisch und transitiv ist.
Was ist eine Äquivalenzklasse \( K(a) \)?;Die Menge aller Elemente, die zu \( a \) in Relation stehen: \( \{b \in A \mid bRa\} \).
Was ist eine Partition (Zerlegung)?;Eine Aufteilung einer Menge in paarweise disjunkte Teilmengen, deren Vereinigung die Gesamtmenge ergibt.
Was ist eine Halbordnung?;Eine Relation, die reflexiv, antisymmetrisch und transitiv ist.
Was ist eine Totalordnung?;Eine Halbordnung, bei der je zwei Elemente vergleichbar sind (es gilt immer \( aRb \) oder \( bRa \)).
Was ist ein minimales Element?;Ein Element \( x \), für das es kein \( y \neq x \) gibt mit \( yRx \) ("nichts darunter").
Was ist ein maximales Element?;Ein Element \( x \), für das es kein \( y \neq x \) gibt mit \( xRy \) ("nichts darüber").
Was ist das kleinste Element?;Ein Element \( x \), sodass für alle \( y \) gilt: \( xRy \) (es ist eindeutig).
Was ist das größte Element?;Ein Element \( x \), sodass für alle \( y \) gilt: \( yRx \) (es ist eindeutig).
Was besagt das Assoziativgesetz?;\( (a \circ b) \circ c = a \circ (b \circ c) \).
Was besagt das Kommutativgesetz?;\( a \circ b = b \circ a \).
Was ist ein neutrales Element \( e \)?;Ein Element, das bei Verknüpfung nichts ändert: \( e \circ a = a \circ e = a \).
Was ist ein inverses Element \( a' \) zu \( a \)?;Ein Element, das mit \( a \) verknüpft das neutrale Element ergibt: \( a \circ a' = e \).
Was ist ein Gruppoid?;Eine Menge mit einer binären Operation (ohne weitere Gesetze).
Was ist ein Monoid?;Eine Halbgruppe mit einem neutralen Element.
Was ist eine Linksnebenklasse \( a \circ U \)?;Die Menge \( \{a \circ u \mid u \in U\} \).
Was besagt der Satz von Lagrange?;Die Ordnung einer Untergruppe teilt die Ordnung der gesamten Gruppe (\( |G| / |U| \)).
Was ist eine Boole'sche Algebra?;Ein distributiver Verband, in dem es neutrale Elemente (0, 1) gibt und jedes Element ein Komplement hat.
Welche Darstellungsformen von Relationen gibt es?;Pfeildiagramm, Tabelle (Matrixdarstellung) und Graph der Relation.
Was ist der Zusammenhang zwischen Äquivalenzrelationen und Partitionen?;Die Äquivalenzklassen einer Äquivalenzrelation bilden eine Partition der Grundmenge, und umgekehrt definiert jede Partition eine Äquivalenzrelation.
Was ist der Unterschied zwischen einem minimalen und dem kleinsten Element?;Ein minimales Element hat kein kleineres Element unter sich, ein kleinstes Element ist kleiner als alle anderen und eindeutig.
Was ist der Unterschied zwischen einem maximalen und dem größten Element?;Ein maximales Element hat kein größeres Element über sich, ein größtes Element ist größer als alle anderen und eindeutig.
Was ist eine Rechtsnebenklasse \( U \circ a \)?;Die Menge \( \{u \circ a \mid u \in U\} \).
Was sind Zusammenhangskomponenten?;Die maximal zusammenhängenden Teilgraphen eines Graphen.
Was ist die Bedeutung von \(\binom{n}{k}\)?;Er gibt an, wie viele k-elementige Teilmengen eine n-elementige Menge hat.
Was ist ein Algorithmus?;Eine endliche Folge eindeutig ausführbarer Schritte zur Lösung eines Problems.
Was ist die Laufzeit eines Algorithmus?;Der Aufwand an Rechenschritten in Abhängigkeit von der Eingabegröße.
Was ist die Grundidee eines Greedy-Algorithmus?;In jedem Schritt wird eine lokal optimale Entscheidung getroffen.
